MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Specific,Common,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
C. Rajendran,Elected,18-May-09,In office,Tamil Nadu,Chennai South,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.A., B.L.; Educated at Madras Law College",52,30,0,243,71%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
C. Sivasami,Elected,18-May-09,In office,Tamil Nadu,Tiruppur,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,M.A.; Madurai Kamraj University (Tamil Nadu) ,55,47,0,458,69%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
Chandra Sekhar Kalva Kuntla Rao,Elected,18-May-09,In office,Andhra Pradesh,Mahabubnagar,Telangana Rashtra Samithi,Male,Post Graduate,"M.A. (Litt); Educated at Osmania University, Hyderabad, Andhra Pradesh",58,2,0,0,10%,Complete attendance for this MP is not available," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Chandrakant Bhaurao Khaire,Elected,18-May-09,In office,Maharashtra,Aurangabad,Shiv Sena,Male,Graduate,"B.Sc. (1st Year), Diploma in Personnel Management; Educated at Marathawada University, Aurangabad, Maharashtra",60,31,1,533,69%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Chandresh Kumari Katoch,Elected,18-May-09,In office,Rajasthan,Jodhpur,Indian National Congress,Female,Under Graduate,"Educated at Nazrath Convent School, St. Mary`s School, Puna, St. Hildas School, Ooty Educated at St. Hildas-Ooty",68,5,0,42,78%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,37.3,0.8,208,88%
Chandu Lal Sahu,Elected,18-May-09,In office,Chhattisgarh,Mahasamund,Bharatiya Janata Party,Male,Graduate,"B.Com., LL.B.; Educated at Rajiv Lochan College, Rajim and; Durga College, Raipur",53,12,0,57,83%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,9.6,0.3,121,64%
Charan Das Mahant,Elected,18-May-09,In office,Chhattisgarh,Korba,Indian National Congress,Male,Doctorate,"M.Sc., M.A., LL.B., Ph.D.; Educated at Motilal Vigyan Mahavidhyalay, Bhopal University and Barkatulla University, Bhopal (Madhya Pradesh) ",57,15,0,132,93%,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",15.8,0.4,119,77%,5.8,0.3,55,64%
Charles Dias,Nominated,18-Sep-09,In office,,,Indian National Congress,Male,Doctorate,"M.A., Ph.D, Diploma in Office Management, Diploma in Personnel Management and Diploma in Labour Law; Educated at University of Calicut and Annamalai University",62,51,0,72,99%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",24.8,0.5,199,77%,31.5,0,100,90%
Chaudhary Lal Singh,Elected,18-May-09,In office,Jammu and Kashmir,Udhampur,Indian National Congress,Male,Graduate,"B.A.; Educated at Government Degree College, Kathua,; Jammu and Kashmir",53,71,0,218,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,35.4,0,84,89%
Chinta Mohan,Elected,18-May-09,In office,Andhra Pradesh,Tirupati,Indian National Congress,Male,Graduate,"M.B.B.S; Educated at Srivenkateswara Medical College, Tirupati (Andhra Pradesh) ",57,3,0,18,78%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Choudhury Mohan Jatua,Elected,18-May-09,In office,West Bengal,Mathurapur,All India Trinamool Congress,Male,Post Graduate,M.Com.; Educated at Kolkata University,74,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D. Napoleon,Elected,18-May-09,In office,Tamil Nadu,Perambalur,Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (History); Educated at St. Joseph's College, Trichy",48,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D.B. Chandre Gowda,Elected,18-May-09,In office,Karnataka,Bangalore North,Bharatiya Janata Party,Male,Post Graduate,"B.Sc, LL.B., Educated at Mudigere High School, Intermediate College Chikmagalur, Renukacharya College, Bangalore and R. L. Law College, Belgaum",76,7,0,484,61%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,14.5,0.2,244,70%
D.V. Sadananda Gowda,Elected,18-May-09,29-12-2011,Karnataka,Udupi Chikmagalur,Bharatiya Janata Party,Male,Graduate,"B.Sc., L.L.B.; Educated at St. Phelomena College, Puttur, Dakshina Kannada, Karnataka and Vaikunta Baliga Law Collge, Udupi",59,17,0,72,42%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",21.1,0.4,163,77%,9.9,0.2,181,70%
Daggubati Purandeswari,Elected,18-May-09,In office,Andhra Pradesh,Visakhapatnam,Indian National Congress,Female,Graduate,B.A. (Literature) and Graduate in Gemology; Educated at South Indian Educational Trust and; Women College (Chennai) and Gemological Institute of India,53,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Danapal Venugopal,Elected,18-May-09,In office,Tamil Nadu,Tiruvannamalai,Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,"Educated at Danish Mission High School, Tiruvannamalai, Tamil Nadu",80,24,0,5,64%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
Dara Singh Chauhan,Elected,18-May-09,In office,Uttar Pradesh,Ghosi,Bahujan Samaj Party,Male,Graduate,,49,99,0,81,92%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Darshana Vikram Jardosh,Elected,18-May-09,In office,Gujarat,Surat,Bharatiya Janata Party,Female,Graduate,"B.Com.; Educated at K.P. College of Commerce, Surat, Certificate Course in Computer from NIIT",51,44,0,212,90%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,30.1,1,276,79%
Datta Raghobaji Meghe,Elected,18-May-09,In office,Maharashtra,Wardha,Indian National Congress,Male,Graduate,"B.A.; Educated at Nagpur University, Nagpur (Maharashtra) ",75,47,0,223,88%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Davidson J. Helen,Elected,18-May-09,In office,Tamil Nadu,Kanniyakumari,Dravida Munnetra Kazhagam,Female,Post Graduate,"M.Sc. (Math), B.Ed; Manomanian Sundaranar University and Annamalai University",41,28,0,105,78%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
Dayanidhi Maran,Elected,18-May-09,In office,Tamil Nadu,Chennai Central,Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (Economics); Educated at Loyola College, Chennai (Tamil Nadu) ",45,0,0,0,69%,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",12.6,0.2,96,77%,16.9,0.2,122,73%
Deepa Dashmunsi,Elected,18-May-09,In office,West Bengal,Raiganj,Indian National Congress,Female,Post Graduate,"M.A. (Dramatics); Educated at Rabindra Bharati University, West Bengal",51,9,0,328,79%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Deepender Singh Hooda,Elected,18-May-09,In office,Haryana,Rohtak,Indian National Congress,Male,Post Graduate,"B.Tech., M.B.A.; Educated at University at Birla Institute, M.D. University, Rohtak (Haryana) and Kelley School of Business, Indiana University, Bloomington, USA",34,15,1,74,79%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,8.7,0.1,150,69%
Deoraj Singh Patel,Elected,18-May-09,In office,Madhya Pradesh,Rewa,Bahujan Samaj Party,Male,Post Graduate,"M.A., LL.B.; Educated at Avadesh Pratap Singh University, Rewa, Madhya Pradesh",43,6,0,79,88%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.5,0.1,174,83%
Devendra Nagpal,Elected,18-May-09,In office,Uttar Pradesh,Amroha,Rashtriya Lok Dal,Male,Graduate,"Educated at KGK College, Moradabad, Uttar Pradesh",41,9,0,36,55%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Devidhan Besra,Elected,18-May-09,In office,Jharkhand,Rajmahal,Bharatiya Janata Party,Male,Matric,"Educated at Paligram Vidya Mandir, Birbhum",72,2,0,0,68%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,25.9,0.8,186,66%
Devji Patel,Elected,18-May-09,In office,Rajasthan,Jalore,Bharatiya Janata Party,Male,Matric,,35,72,0,284,79%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,37.3,0.8,208,88%
Dhananjay Singh,Elected,18-May-09,In office,Uttar Pradesh,Jaunpur,Bahujan Samaj Party,Male,Post Graduate,M.A.(Political Science),37,32,0,153,66%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Dharmendra Yadav,Elected,18-May-09,In office,Uttar Pradesh,Badaun,Samajwadi Party,Male,Post Graduate,"M.A., L.L.B.; Educated at Allahabad University, Allahabad, Uttar Pradesh",33,18,0,604,76%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Dhruva Narayana Rangaswamy,Elected,18-May-09,In office,Karnataka,Chamrajanagar,Indian National Congress,Male,Post Graduate,"M.Sc. (Agriculture); Educated at University of Agricultural Sciences, Bangalore",51,51,0,418,81%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,14.5,0.2,244,70%
Digvijay Singh,Elected,18-May-09,24-06-2010,Bihar,Banka,Independent,Male,Post Graduate,"M.A., M. Phil.; Educated at Patna University, Patna and Jawaharlal Nehru University, New Delhi and Tokyo University (Japan) ",56,2,0,0,77%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",8.7,0.2,62,77%,10.9,0.2,64,87%
Dilip Kumar Mansukhlal Gandhi,Elected,18-May-09,In office,Maharashtra,Ahmednagar,Bharatiya Janata Party,Male,Matric,"S.S.C.; Educated at Pune University, Pune (Maharashtra)",61,24,0,175,67%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Dilip Singh Ju Dev,Elected,18-May-09,In office,Chhattisgarh,Bilaspur,Bharatiya Janata Party,Male,Post Graduate,"B.A., LL.B. (Pt. II); Educated at Mayo College, Ajmer, Raj Kumar College, Raipur, ST. Xavier College, Ranchi, Chhotanagpur Law College, Ranchi",70,2,0,190,60%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,9.6,0.3,121,64%
Dimple Yadav,Elected,09-Jun-12,In office,Uttar Pradesh,Kannauj,Samajwadi Party,Female,Graduate,Graduation in humanities from Lucknow University,34,0,0,0,37%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",1.1,0.1,20,77%,1.3,0,18,80%
Dinesh Chandra Yadav,Elected,18-May-09,In office,Bihar,Khagaria,Janata Dal (United),Male,Diploma Course,"D.C.E. (Civil), I.A.; Educated at Government Polytechnic, Saharsa and C.M. Science College, Madhipura, Bihar",62,35,0,313,92%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Dinesh Kashyap,Elected,13-May-11,In office,Chhattisgarh,Bastar,Bharatiya Janata Party,Male,Others,,42,0,0,6,56%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",12.6,0.2,96,77%,3.8,0,65,64%
Dinesh Trivedi,Elected,18-May-09,In office,West Bengal,Barrackpur,All India Trinamool Congress,Male,Post Graduate,M.B.A.,62,0,0,0,59%,"This MP was a Minister. He tendered his resignation on 18th March, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 19th March, 2012"," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",6.8,0.2,49,77%,6.9,0.1,28,72%
Dinsha J. Patel,Elected,18-May-09,In office,Gujarat,Kheda,Indian National Congress,Male,Matric,,75,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dip Gogoi,Elected,18-May-09,In office,Assam,Kaliabor,Indian National Congress,Male,Graduate,B.Sc.,60,0,0,0,79%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,16.3,0.5,59,81%
Dudhgaonkar Ganeshrao Nagorao,Elected,18-May-09,In office,Maharashtra,Parbhani,Shiv Sena,Male,Graduate,"B.A., LL.B.",67,37,0,292,90%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Dushyant Singh,Elected,18-May-09,In office,Rajasthan,Jhalawar-Baran,Bharatiya Janata Party,Male,Post Graduate,"B.A. , M.B.A. (Hotel Administration) and P.G. Diploma in Hotel Operations; Educated at Doon School, Dehradun,; St. Stephen`s College, Delhi, Johnson and Wales University, Providence, RI, USA and IHTTI School of Mangaement, Neuchatel, Switzerland, ",39,24,0,304,78%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,37.3,0.8,208,88%
E. Ahamed,Elected,18-May-09,In office,Kerala,Malappuram,Muslim League Kerala State Committee,Male,Graduate,"B.A., B.L.; Educated at Government Brennen College, Tellicherry and Government Law College, Thiruvananthapuram (Kerala) ",74,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E. T. Mohammed Basheer,Elected,18-May-09,In office,Kerala,Ponnani,Muslim League Kerala State Committee,Male,Inter/ Higher Secondary,,66,45,0,135,77%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,50.7,1.1,300,84%
E.G. Sugavanam,Elected,18-May-09,In office,Tamil Nadu,Krisnagiri,Dravida Munnetra Kazhagam,Male,Diploma Course,"Diploma in Pharmacy; Educated at K.L.E. Society, Nijalingappa College, Bangalore",54,17,0,616,56%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
Eknath Mahadeo Gaikwad,Elected,18-May-09,In office,Maharashtra,Mumbai-South-Central,Indian National Congress,Male,Under Graduate,,72,7,0,727,98%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Farooq Abdullah,Elected,18-May-09,In office,Jammu and Kashmir,Srinagar,Jammu and Kashmir National Conference,Male,Graduate,"M.B.B.S.; Educated at S.M.S. Medical College, Jaipur, Rajasthan",74,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Feroze Varun Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Pilibhit,Bharatiya Janata Party,Male,Graduate,"B.Sc. (Economics); educated at London School of Economics (LSE), London University, UK.",32,2,1,501,70%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Francisco Sardinha,Elected,18-May-09,In office,Goa,South Goa,Indian National Congress,Male,Graduate,"B.Sc., B.Ed.; Educated at Chowgule College, Bombay University (Maharashtra) ",66,13,1,185,94%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,20.5,0.5,150,87%
G.V. Harsha Kumar,Elected,18-May-09,In office,Andhra Pradesh,Amalapuram,Indian National Congress,Male,Post Graduate,"M.Sc. (Marine Geology); Educated at Andhra University, Waljair, Andhra Pradesh",53,3,0,34,81%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Gaddam Vivekanand,Elected,18-May-09,In office,Andhra Pradesh,Peddapalle,Indian National Congress,Male,Graduate,"M.B.B.S.; Educated at Osmania Medical College, Hyderabad, Andhra Pradesh",54,8,0,57,66%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Gadhvi Mukeshkumar Bhairavdanji,Elected,18-May-09,In office,Gujarat,Banaskantha,Indian National Congress,Male,Graduate,B.Com; Educated at Gujarat University,49,5,0,350,83%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,30.1,1,276,79%
Gajanan Dharmshi Babar,Elected,18-May-09,In office,Maharashtra,Maval,Shiv Sena,Male,Under Matric,,69,18,0,806,70%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Gajendra Singh Rajukhedi,Elected,18-May-09,In office,Madhya Pradesh,Dhar,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Government Arts and Commerce College and Christian College, Indore, Madhya Pradesh",47,1,0,105,85%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.5,0.1,174,83%
Ganesh Singh,Elected,18-May-09,In office,Madhya Pradesh,Satna,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B.; Educated at Awadesh Pratap Singh University,; Rewa and Law College, Satna, Madhya Pradesh",50,111,0,457,83%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.5,0.1,174,83%
Gangasandra Siddappa Basavaraj,Elected,18-May-09,In office,Karnataka,Tumkur,Bharatiya Janata Party,Male,Graduate,"B.Sc., B.L.; Educated at First Grade College, Tumkur and Vidyodaya Law College, Tumkur, Karnataka",71,2,2,161,75%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,14.5,0.2,244,70%
Ghansyam Anuragi,Elected,18-May-09,In office,Uttar Pradesh,Jalaun,Samajwadi Party,Male,Post Graduate,"M.A. (Acharya), LL.B. (2nd year); Educated at Sampoornanad Sanskrit Vishwavidyalaya, Varanasi and Bundel Khand University, Jhansi, Uttar Pradesh",39,46,0,256,94%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Girija Vyas,Elected,18-May-09,In office,Rajasthan,Chittorgarh,Indian National Congress,Female,Doctorate,"M.A., Ph.D.; Educated at University of Udaipur (Rajasthan) and in U.S.A.",66,18,0,16,89%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,37.3,0.8,208,88%
